#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
02 27 53.4	-61 57 27	B0226-621 	       	02 26 35.2	-62 10 50	Xs  	      	        	        	   1.290	        	        	   0.270	   0.170	J0227-6157 	20.00	
02 29 37.7	+00 25 25	B0227+002 	       	02 27 03.7	+00 12 05	X   	      	        	        	        	        	        	   0.130	        	J0229+0025 	20.00	
02 30 29.1	-04 11 56	B0227-044 	OD-046 	02 27 58.4	-04 25 13	Xs  	      	        	        	   0.930	        	        	   0.210	        	J0230-0411 	20.00	
02 29 28.4	-36 43 44	B0227-369 	       	02 27 24.9	-36 57 03	Q?  	      	        	        	        	        	        	   0.250	   0.270	J0229-3643 	20.00	
02 29 50.7	-42 11 28	B0227-424 	       	02 27 53.7	-42 24 46	X   	      	        	        	   0.930	        	        	   0.160	        	J0229-4211 	20.00	
02 29 25.6	-52 32 11	B0227-527 	       	02 27 44.7	-52 45 30	Xs  	      	        	        	   3.920	        	        	   0.980	   0.630	J0229-5232 	20.00	
02 29 12.9	-54 03 44	B0227-542 	       	02 27 35.0	-54 17 04	Xs  	      	        	        	        	        	        	        	   0.210	J0229-5403 	20.00	
02 29 15.2	-60 59 32	B0227-612 	       	02 27 54.6	-61 12 51	Xg  	      	        	        	   1.060	        	        	   0.210	        	J0229-6059 	20.00	
02 31 27.1	-04 21 38	B0228-045 	       	02 28 56.5	-04 34 53	Xs  	      	        	        	        	        	        	   0.150	        	J0231-0421 	20.00	
02 30 56.3	-39 44 16	B0228-399 	       	02 28 56.5	-39 57 32	Q   	      	  10.000	        	   3.090	        	   1.250	   0.560	   0.320	J0230-3944 	20.00	
02 29 26.8	-68 28 55	B0228-687 	       	02 28 36.2	-68 42 13	Xs  	      	        	        	        	        	        	   0.240	        	J0229-6828 	20.00	
02 29 01.4	-69 21 37	B0228-695 	       	02 28 15.5	-69 34 56	Xs  	      	        	        	        	        	        	   0.190	        	J0229-6921 	20.00	
02 32 20.3	+03 38 34	B0229+034 	       	02 29 44.0	+03 25 22	G   	      	        	        	        	        	        	   0.110	        	J0232+0338 	20.00	
02 32 04.7	+07 26 06	B0229+072 	OD050  	02 29 25.7	+07 12 53	Q   	      	        	        	   1.590	        	        	   0.440	   0.290	J0232+0726 	20.00	
02 31 45.9	+13 22 55	B0229+131 	4C13.14	02 29 02.5	+13 09 41	Q   	 2.065	   5.000	   2.300	   2.110	        	   1.200	   1.400	   0.980	J0231+1322 	 0.05	kb67,s68
02 31 40.7	-04 53 39	B0229-051 	OD-049 	02 29 10.5	-05 06 53	Xg  	      	        	        	   0.850	        	        	   0.170	        	J0231-0453 	20.00	
02 31 37.9	-20 40 35	B0229-208 	OD-249 	02 29 19.6	-20 53 49	E   	      	   6.000	        	        	        	        	   0.750	   0.470	J0231-2040 	10.00	
02 31 11.1	-31 49 59	B0229-320 	       	02 29 02.7	-32 03 14	Xs  	      	        	        	   1.680	        	        	   0.390	   0.230	J0231-3149 	20.00	
02 31 51.8	-39 35 46	B0229-398 	       	02 29 52.0	-39 48 59	Q   	      	        	        	        	        	   0.730	   0.640	   0.680	J0231-3935 	 0.15	
02 31 09.1	-57 54 52	B0229-581 	       	02 29 40.7	-58 08 06	E   	      	        	        	        	        	        	   0.180	        	J0231-5754 	20.00	
02 31 16.8	-58 41 43	B0229-589 	       	02 29 50.5	-58 54 57	Xs  	      	        	        	        	        	        	        	   0.160	J0231-5841 	20.00	
02 25 53.8	-83 17 53	B0229-835 	0230-83	02 29 07.2	-83 31 15	G   	      	        	   1.700	   1.650	        	   0.700	   0.360	   0.210	J0225-8317 	20.00	
02 33 30.7	-02 03 23	B0230-022 	       	02 30 58.5	-02 16 32	G   	      	        	        	   0.860	        	   0.220	   0.190	   0.130	J0233-0203 	20.00	
02 32 44.6	-02 33 46	B0230-027 	OD-050 	02 30 12.8	-02 46 57	Xs  	      	   8.000	   3.800	   1.530	   1.500	   0.460	   0.340	   0.200	J0232-0233 	20.00	
02 33 18.0	-03 21 00	B0230-035 	4C-3.08	02 30 46.7	-03 34 10	X   	      	   5.000	   3.200	   2.010	   1.200	   0.610	   0.370	   0.200	J0233-0321 	20.00	
02 33 22.7	-04 54 35	B0230-051 	       	02 30 52.6	-05 07 45	Xs  	      	        	        	        	        	        	   0.210	        	J0233-0454 	20.00	
02 32 53.8	-06 46 02	B0230-069 	02-011 	02 30 25.0	-06 59 13	Q?  	      	  15.000	        	   3.960	        	   1.400	   0.780	   0.390	J0232-0646 	20.00	
02 33 23.4	-10 00 44	B0230-102 	02-19  	02 30 57.0	-10 13 53	Xs  	      	  11.000	        	   2.110	        	   0.400	        	        	J0233-1000 	20.00	
02 32 47.0	-11 34 11	B0230-117 	       	02 30 21.7	-11 47 22	Xs  	      	        	        	   1.540	        	   0.400	   0.200	        	J0232-1134 	20.00	
02 32 48.7	-16 44 22	B0230-169 	       	02 30 27.4	-16 57 33	G   	      	        	        	   1.240	        	        	   0.330	   0.190	J0232-1644 	10.00	
02 32 29.1	-24 22 14	B0230-245 	OD-250 	02 30 14.0	-24 35 26	Xs  	      	        	        	   2.100	        	        	   0.380	   0.210	J0232-2422 	20.00	
02 32 23.2	-33 45 08	B0230-339 	       	02 30 17.0	-33 58 20	Q?  	      	        	        	        	        	        	   0.150	   0.090	J0232-3345 	20.00	
02 32 16.6	-51 27 09	B0230-516 	       	02 30 34.5	-51 40 21	Xg  	      	        	        	   3.850	        	        	   0.540	   0.320	J0232-5127 	20.00	
02 31 49.4	-66 26 15	B0230-666 	02-63  	02 30 50.1	-66 39 27	Xs  	      	        	        	   4.390	        	   1.400	   0.640	   0.290	J0231-6626 	20.00	
02 29 35.1	-78 47 44	B0230-790 	       	02 30 28.9	-79 00 59	Q   	      	        	        	        	        	   0.500	   0.570	   0.770	J0229-7847 	 2.00	
02 34 01.7	+01 51 50	B0231+016 	       	02 31 26.7	+01 38 42	Xs  	      	        	        	        	        	        	   0.090	        	J0234+0151 	20.00	
02 33 48.8	+02 28 56	B0231+022 	       	02 31 13.3	+02 15 48	Q   	 0.322	        	        	        	        	        	   0.070	   0.110	J0233+0228 	20.00	bkw68
02 34 15.6	-09 35 20	B0231-098 	OD-053 	02 31 48.9	-09 48 27	X   	      	        	        	   1.410	        	        	   0.350	   0.170	J0234-0935 	20.00	
02 33 23.7	-23 21 12	B0231-235 	02-211 	02 31 07.8	-23 34 21	Xs  	      	  15.000	        	   4.090	        	   1.300	   0.630	   0.320	J0233-2321 	20.00	
02 33 14.4	-29 55 11	B0231-301 	       	02 31 04.5	-30 08 21	Xs  	      	        	        	   0.770	        	        	   0.160	        	J0233-2955 	20.00	
02 33 18.1	-35 59 18	B0231-362 	       	02 31 14.4	-36 12 27	N?  	      	        	        	   1.180	        	        	   0.270	   0.180	J0233-3559 	10.00	
02 35 24.7	+23 10 04	B0232+229 	4C22.04	02 32 33.2	+22 57 00	Q?  	      	   5.000	   2.900	        	   1.200	   0.800	   0.330	   0.170	J0235+2310 	20.00	
02 34 44.7	-00 49 55	B0232-010 	       	02 32 11.6	-01 03 01	Xg  	      	        	        	        	        	   0.160	   0.110	        	J0234-0049 	20.00	
02 35 31.9	-02 19 27	B0232-025 	4C-2.12	02 32 59.9	-02 32 31	Q   	 1.322	   6.000	   3.400	   2.300	   1.400	   0.900	   0.560	   0.340	J0235-0219 	20.00	bs72
02 35 07.2	-04 02 04	B0232-042 	4C-4.06	02 32 36.5	-04 15 09	Q   	 1.434	  13.000	   6.100	   4.060	        	   1.500	   0.840	   0.620	J0235-0402 	20.00	s68,hcs66
02 34 36.1	-32 59 40	B0232-332 	       	02 32 29.4	-33 12 46	Xs  	      	        	        	        	        	        	   0.120	        	J0234-3259 	20.00	
02 34 33.9	-41 28 36	B0232-416 	       	02 32 37.0	-41 41 42	Xs  	      	        	        	        	        	        	   0.140	        	J0234-4128 	20.00	
02 36 09.6	-13 07 59	B0233-133 	       	02 33 45.7	-13 21 01	X   	      	        	        	   1.420	        	   0.600	   0.340	   0.260	J0236-1307 	20.00	
02 36 07.3	-14 45 40	B0233-149 	       	02 33 44.7	-14 58 42	G   	      	        	        	   1.410	        	        	   0.290	   0.200	J0236-1445 	10.00	
02 35 43.0	-16 09 28	B0233-163 	       	02 33 21.4	-16 22 31	Xs  	      	   8.000	        	   1.420	        	   0.600	        	        	J0235-1609 	20.00	
02 35 39.0	-18 57 20	B0233-191 	       	02 33 19.7	-19 10 23	Xg  	      	        	        	        	        	        	   0.100	        	J0235-1857 	20.00	
02 35 54.8	-28 50 48	B0233-290 	OD-256 	02 33 44.2	-29 03 50	Xg  	      	        	        	   1.960	        	        	   0.320	   0.210	J0235-2850 	20.00	
02 35 29.1	-34 45 32	B0233-349 	       	02 33 24.4	-34 58 35	G   	      	        	        	   1.630	        	        	   0.240	   0.150	J0235-3445 	20.00	
02 35 06.6	-47 37 08	B0233-478 	       	02 33 18.7	-47 50 12	Xs  	      	        	        	   0.900	        	        	   0.460	   0.370	J0235-4737 	20.00	
02 36 43.7	-25 28 44	B0234-256 	       	02 34 30.0	-25 41 44	Xs  	      	        	        	   0.850	        	        	   0.190	        	J0236-2528 	20.00	
02 36 31.0	-29 53 55	B0234-301 	       	02 34 21.5	-30 06 56	Q   	 2.102	        	        	        	        	        	   0.420	   0.530	J0236-2953 	10.00	pjw76
02 36 19.1	-37 45 38	B0234-379 	       	02 34 17.9	-37 58 39	X   	      	        	        	   2.320	        	   1.050	   0.550	   0.360	J0236-3745 	20.00	
02 36 10.4	-43 35 59	B0234-438 	       	02 34 16.7	-43 49 00	Xs  	      	        	        	   1.130	        	        	   0.160	        	J0236-4335 	20.00	
02 37 40.8	+01 59 52	B0235+017 	       	02 35 05.7	+01 46 54	E   	      	        	        	        	        	        	   0.150	   0.070	J0237+0159 	20.00	
02 38 35.5	+02 34 18	B0235+023 	       	02 35 59.9	+02 21 23	Xs  	      	   8.000	        	   0.740	        	   0.500	   0.240	   0.120	J0238+0234 	20.00	
02 37 40.6	+09 19 01	B0235+091 	4C08.10	02 35 00.0	+09 06 03	G   	      	        	   2.200	   1.340	        	        	   0.600	   0.440	J0237+0919 	20.00	
02 38 30.8	+10 10 01	B0235+099 	4C09.11	02 35 49.5	+09 57 05	Xs  	      	  12.000	   6.700	   3.510	        	   1.300	   0.560	   0.280	J0238+1010 	20.00	
02 38 38.9	+16 36 59	B0235+164 	       	02 35 52.6	+16 24 04	BLC 	      	        	        	   1.260	        	        	   1.940	   1.640	J0238+1636 	 0.02	
02 37 57.9	-01 45 18	B0235-019 	4C-2.13	02 35 25.5	-01 58 15	Xs  	      	        	   2.300	   1.120	        	        	   0.220	   0.130	J0237-0145 	20.00	
02 37 43.6	-19 32 32	B0235-197 	02-110 	02 35 24.9	-19 45 29	G?  	      	  39.000	        	  13.300	        	   4.400	   2.410	   1.410	J0237-1932 	20.00	
02 37 18.7	-24 46 34	B0235-249 	       	02 35 04.5	-24 59 33	Xg  	      	        	        	        	        	        	   0.120	        	J0237-2446 	20.00	
02 37 49.8	-43 47 04	B0235-440 	       	02 35 56.7	-44 00 01	Xs  	      	        	        	        	        	        	   0.200	        	J0237-4347 	20.00	
02 36 53.1	-61 36 16	B0235-618 	       	02 35 37.6	-61 49 14	Q   	      	        	        	   0.820	        	        	   0.550	   0.590	J0236-6136 	 2.00	
02 39 13.7	+02 52 18	B0236+026 	       	02 36 37.9	+02 39 24	X   	      	        	        	        	        	        	   0.090	        	J0239+0252 	20.00	
02 39 17.7	-01 19 01	B0236-015 	       	02 36 45.0	-01 31 54	Xs  	      	        	        	        	        	        	   0.150	        	J0239-0119 	20.00	
02 39 15.9	-14 08 21	B0236-143 	       	02 36 52.9	-14 21 14	Xs  	      	        	        	   2.370	        	        	   0.460	   0.260	J0239-1408 	20.00	
02 38 07.8	-50 22 44	B0236-505 	       	02 36 25.4	-50 35 40	G   	      	        	        	   1.700	        	        	   0.380	   0.200	J0238-5022 	20.00	
02 30 28.3	-85 28 18	B0236-856 	       	02 36 52.0	-85 41 24	Xs  	      	        	        	   1.040	        	        	   0.280	   0.290	J0230-8528 	20.00	
02 39 51.3	+04 16 22	B0237+040 	OD062  	02 37 14.4	+04 03 30	Q   	 0.978	        	        	   0.920	        	        	   0.640	   0.680	J0239+0416 	 0.15	ww76a,s77
02 40 27.6	+09 57 15	B0237+097 	       	02 37 46.4	+09 44 25	Xs  	      	        	        	   1.790	        	        	   0.300	   0.150	J0240+0957 	20.00	
02 39 45.5	-02 34 41	B0237-027 	       	02 37 13.7	-02 47 33	Q   	      	        	        	        	        	   0.370	   0.680	   1.160	J0239-0234 	 0.15	
02 40 15.1	-10 35 16	B0237-108 	OD-163 	02 37 49.4	-10 48 07	*   	      	        	        	   1.580	        	        	   0.450	   0.280	J0240-1035 	20.00	
02 39 25.5	-11 28 06	B0237-116 	OD-161 	02 37 00.5	-11 40 59	Xs  	      	        	        	   1.940	        	   0.500	   0.310	   0.180	J0239-1128 	20.00	
02 39 26.4	-13 49 07	B0237-140 	       	02 37 03.2	-14 02 00	Xs  	      	        	        	        	        	        	   0.310	   0.190	J0239-1349 	20.00	
02 39 49.9	-14 36 27	B0237-148 	       	02 37 27.4	-14 49 19	X   	      	        	        	   1.140	        	        	   0.200	        	J0239-1436 	20.00	
02 39 39.8	-19 53 15	B0237-201 	OD-261 	02 37 21.6	-20 06 07	X   	      	        	        	   1.500	        	        	   0.300	   0.160	J0239-1953 	20.00	
02 40 08.2	-23 09 15	B0237-233 	OD-263 	02 37 52.8	-23 22 06	Q   	 2.230	        	        	   3.670	        	   4.400	   2.410	   1.510	J0240-2309 	 0.05	bb69
02 39 49.8	-26 45 28	B0237-269 	OD-262 	02 37 37.7	-26 58 19	Xs  	      	        	        	   0.910	        	        	   0.170	        	J0239-2645 	20.00	
02 41 06.6	+08 44 45	B0238+085 	NGC1044	02 38 26.3	+08 31 57	DB  	 0.021	   9.000	   2.300	   3.100	        	   1.300	   0.700	   0.320	J0241+0844 	20.00	
02 40 59.4	-00 21 17	B0238-005 	       	02 38 26.0	-00 34 06	Xs  	      	        	        	        	        	        	   0.090	        	J0240-0021 	20.00	
02 40 55.8	-01 37 41	B0238-018 	4C-2.14	02 38 23.3	-01 50 30	Xs  	      	        	   2.700	        	        	        	   0.100	        	J0240-0137 	20.00	
02 40 56.1	-05 04 41	B0238-052 	       	02 38 26.2	-05 17 30	Q   	      	        	        	        	        	        	   0.330	   0.410	J0240-0504 	20.00	
02 40 39.1	-07 23 19	B0238-076 	OD-063 	02 38 11.0	-07 36 08	Xs  	      	        	        	        	        	        	   0.130	        	J0240-0723 	20.00	
02 41 04.7	-08 15 21	B0238-084 	NGC1052	02 38 37.3	-08 28 09	E   	 0.004	   4.000	        	   0.840	        	   0.850	   0.580	   1.400	J0241-0815 	 0.15	
02 41 07.0	-17 16 38	B0238-174 	OD-1647	02 38 46.7	-17 29 26	Xg  	      	        	        	   1.290	        	        	   0.280	   0.210	J0241-1716 	20.00	
02 40 43.6	-30 13 45	B0238-304 	       	02 38 34.9	-30 26 34	Xs  	      	        	        	   0.910	        	        	   0.160	        	J0240-3013 	20.00	
02 41 46.4	+00 26 40	B0239+002 	NGC1055	02 39 12.4	+00 13 54	S   	      	        	        	        	        	        	   0.150	        	J0241+0026 	20.00	
02 42 29.2	+11 01 01	B0239+108 	OD166  	02 39 47.1	+10 48 16	Q   	      	        	        	        	        	        	   0.700	   0.590	J0242+1101 	 0.02	
02 42 00.5	+12 48 48	B0239+126 	       	02 39 17.0	+12 36 02	X   	      	        	        	   1.090	        	   0.700	   0.300	   0.120	J0242+1248 	20.00	
02 42 09.6	-01 28 39	B0239-016 	       	02 39 37.0	-01 41 24	Xs  	      	        	        	        	        	   0.190	   0.130	        	J0242-0128 	20.00	
02 41 37.9	-06 47 38	B0239-070 	       	02 39 09.4	-07 00 25	Xs  	      	   7.000	        	   2.490	        	   0.800	   0.420	   0.210	J0241-0647 	20.00	
02 41 59.8	-27 55 08	B0239-281 	       	02 39 49.0	-28 07 53	Xs  	      	        	        	   0.880	        	        	   0.170	        	J0241-2755 	20.00	
02 42 00.6	-32 32 07	B0239-327 	       	02 39 54.5	-32 44 52	Xs  	      	        	        	        	        	        	   0.120	        	J0242-3232 	20.00	
02 40 46.8	-55 08 12	B0239-553 	       	02 39 15.0	-55 21 00	Xs  	      	        	        	   1.800	        	        	   0.160	   0.160	J0240-5508 	20.00	
02 40 00.9	-73 43 45	B0239-739 	       	02 39 55.3	-73 56 33	Xg  	      	        	        	   2.010	        	        	   0.290	   0.160	J0240-7343 	20.00	
02 43 22.7	+01 52 00	B0240+016 	       	02 40 47.6	+01 39 18	Xs  	      	        	        	        	        	   0.200	   0.070	        	J0243+0151 	20.00	
02 42 40.8	-00 00 47	B0240-002 	NGC1068	02 40 07.1	-00 13 31	S   	 0.004	  22.000	  16.100	  12.400	   8.500	   5.100	   3.270	   1.920	J0242-0000 	 0.50	
02 42 47.2	-01 57 28	B0240-021 	       	02 40 15.0	-02 10 12	Q?  	      	        	        	        	        	        	   0.120	   0.100	J0242-0157 	20.00	
02 42 43.7	-03 11 52	B0240-034 	4C-3.09	02 40 12.4	-03 24 36	DB  	      	        	   2.400	   0.900	        	   0.460	   0.220	   0.150	J0242-0311 	10.00	
02 43 12.4	-05 50 56	B0240-060 	OD-068 	02 40 43.2	-06 03 38	Q   	 1.800	        	        	        	        	        	   0.530	   0.520	J0243-0550 	 0.50	scg74
02 42 35.9	-21 32 26	B0240-217 	OD-267 	02 40 19.3	-21 45 10	N   	 0.314	        	        	   1.250	        	        	   0.970	   0.820	J0242-2132 	 0.15	
02 42 35.9	-42 01 46	B0240-422 	02-410 	02 40 41.3	-42 14 29	G   	      	  14.000	        	   4.220	        	   1.370	   0.810	   0.530	J0242-4201 	20.00	
02 41 54.8	-53 44 42	B0240-539 	       	02 40 20.2	-53 57 27	Xs  	      	        	        	   0.800	        	        	   0.110	        	J0241-5344 	20.00	
02 42 22.1	-55 06 40	B0240-553 	       	02 40 50.7	-55 19 24	Xs  	      	        	        	   1.120	        	        	   0.290	   0.210	J0242-5506 	20.00	
02 43 44.7	+01 20 47	B0241+011 	       	02 41 10.0	+01 08 06	Xs  	      	        	        	        	        	        	   0.120	        	J0243+0120 	20.00	
02 43 47.4	-01 02 43	B0241-012 	       	02 41 14.5	-01 15 24	X   	      	        	        	        	        	   0.190	   0.110	        	J0243-0102 	20.00	
02 43 32.2	-02 32 57	B0241-027 	       	02 41 00.5	-02 45 38	X   	      	        	        	   1.170	        	   0.220	   0.190	   0.110	J0243-0232 	20.00	
02 44 02.7	-11 00 31	B0241-112 	OD-168 	02 41 37.5	-11 13 11	Xs  	      	        	        	   1.600	        	        	   0.380	   0.210	J0244-1100 	20.00	
02 43 54.5	-32 04 33	B0241-322 	       	02 41 48.2	-32 17 13	G   	      	        	        	        	        	        	   0.300	   0.180	J0243-3204 	20.00	
02 43 13.5	-51 05 15	B0241-513 	       	02 41 33.8	-51 17 56	Q   	      	        	        	   4.450	        	        	   0.400	   0.560	J0243-5105 	 2.00	
02 42 13.9	-65 33 43	B0241-657 	       	02 41 16.0	-65 46 26	Xs  	      	        	        	   1.140	        	        	   0.370	   0.270	J0242-6533 	20.00	
02 45 33.2	+01 08 35	B0242+009 	4C00.09	02 42 58.7	+00 55 59	G   	      	        	   2.500	   1.280	        	   0.260	   0.160	        	J0245+0108 	20.00	
02 45 26.6	+03 02 17	B0242+028 	       	02 42 50.6	+02 49 41	X   	      	        	        	   1.490	   0.800	   0.460	   0.210	   0.160	J0245+0302 	10.00	
02 44 31.0	-05 26 39	B0242-056 	4C-5.12	02 42 01.5	-05 39 18	Xs  	      	        	   2.200	   1.100	        	   0.600	   0.320	   0.180	J0244-0526 	20.00	
02 44 47.5	-35 22 56	B0242-355 	       	02 42 45.0	-35 35 33	Xs  	      	        	        	   1.500	        	        	   0.330	   0.230	J0244-3523 	 0.50	
02 44 22.3	-35 40 18	B0242-358 	       	02 42 20.0	-35 52 56	Xs  	      	        	        	   0.950	        	        	   0.150	        	J0244-3540 	20.00	
02 43 43.9	-51 12 35	B0242-514 	02-53  	02 42 04.6	-51 25 15	Xs  	      	        	        	   7.990	        	   2.700	   0.860	   0.480	J0243-5112 	20.00	
02 46 58.5	-12 36 31	B0244-128 	OD-174 	02 44 34.7	-12 49 02	Q   	 2.201	        	        	        	        	        	   0.320	   0.320	J0246-1236 	20.00	
02 46 21.5	-29 35 05	B0244-297 	       	02 44 12.9	-29 47 38	Xs  	      	        	        	        	        	        	   0.360	   0.340	J0246-2935 	10.00	
02 46 19.1	-30 16 09	B0244-304 	NGC1097	02 44 11.2	-30 28 42	SB  	      	        	        	   0.860	        	        	   0.250	   0.150	J0246-3016 	20.00	
02 46 13.5	-35 20 36	B0244-355 	       	02 44 11.2	-35 33 09	X   	      	        	        	   0.950	        	        	   0.190	        	J0246-3520 	20.00	
02 45 54.1	-44 59 39	B0244-452 	       	02 44 04.6	-45 12 13	Q   	      	  10.000	        	   2.820	        	   1.370	   0.910	   0.640	J0245-4459 	 0.50	
02 45 59.9	-46 51 17	B0244-470 	       	02 44 13.4	-47 03 50	Q?  	      	        	        	   1.840	        	        	   0.730	   0.590	J0246-4651 	10.00	
02 45 19.7	-69 07 59	B0244-693 	       	02 44 42.2	-69 20 33	Xs  	      	        	        	   1.820	        	   1.000	   0.210	        	J0245-6907 	20.00	
02 47 51.2	+01 31 49	B0245+013 	       	02 45 16.3	+01 19 20	X   	      	        	        	   1.020	        	        	   0.150	        	J0247+0131 	10.00	
02 48 10.6	-04 15 19	B0245-044 	OD-076 	02 45 40.2	-04 27 47	E   	      	        	        	   1.230	        	        	   0.350	   0.210	J0248-0415 	20.00	
02 48 07.7	-16 31 47	B0245-167 	       	02 45 47.2	-16 44 15	Q?  	      	        	        	   1.110	        	        	   0.340	   0.320	J0248-1631 	20.00	
02 47 48.8	-26 09 04	B0245-263 	OD-275 	02 45 37.0	-26 21 33	Xg  	      	        	        	   0.970	        	        	   0.220	        	J0247-2609 	20.00	
02 48 00.8	-29 31 42	B0245-297 	OD-276 	02 45 52.4	-29 44 10	Xs  	      	        	        	   1.590	        	        	   0.440	   0.240	J0248-2931 	20.00	
02 47 20.5	-48 01 11	B0245-482 	       	02 45 36.3	-48 13 41	Xs  	      	        	        	   0.810	        	        	   0.180	        	J0247-4801 	20.00	
02 46 55.2	-55 41 21	B0245-558 	02-54  	02 45 26.7	-55 53 51	Xs  	      	        	        	   8.250	        	   2.700	   1.200	   0.550	J0246-5541 	20.00	
02 28 09.2	-87 50 07	B0245-880 	       	02 45 11.2	-88 03 05	Xs  	      	        	        	        	        	        	   0.140	        	J0228-8750 	20.00	
02 48 58.1	+06 41 44	B0246+064 	4C06.13	02 46 19.2	+06 29 18	Q?  	      	        	   3.000	   2.290	        	        	   0.350	   0.340	J0248+0641 	20.00	
02 48 37.1	-13 22 28	B0246-135 	02-114 	02 46 14.0	-13 34 55	G   	      	   7.000	        	   2.490	        	   0.800	   0.620	   0.360	J0248-1322 	20.00	
02 48 53.4	-14 47 55	B0246-150 	       	02 46 31.5	-15 00 21	Q?  	      	        	        	   1.680	        	        	   0.280	   0.190	J0248-1447 	10.00	
02 49 01.2	-19 28 56	B0246-196 	OD-178 	02 46 43.4	-19 41 21	X   	      	        	        	   1.690	        	        	   0.440	   0.250	J0249-1928 	20.00	
02 49 01.1	-20 02 30	B0246-202 	MO     	02 46 43.7	-20 14 55	Xs  	      	        	        	   2.040	        	        	   0.400	   0.230	J0249-2002 	20.00	
02 48 21.8	-22 57 54	B0246-231 	OD-277 	02 46 07.0	-23 10 21	*   	      	        	        	   2.440	        	        	   0.680	   0.460	J0248-2257 	20.00	
02 49 02.1	-32 13 56	B0246-324 	       	02 46 56.7	-32 26 21	Xs  	      	        	        	        	        	        	   0.150	        	J0249-3213 	20.00	
