#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:49:57 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244583b40	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VIII/16&tab:{VIII/16/mrcj2000}&key:source=VIII/16&HTTPPRM:&-out.max=20&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/16/mrcj2000
#-order=I
#-out=MRC
#-out=RAB1950
#-out=DEB1950
#-out=RA2000
#-out=DE2000
#-out=S408
#-out=e_S408
#-out=n_S408
#-out=Mflag
#-out=Cflag
#

#RESOURCE=yCat_8016
#Name: VIII/16
#Title: Molonglo Reference Catalogue of Radio Sources (Large+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_16_mrcj2000:
#Name: VIII/16/mrcj2000
#Title: Catalog Data
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	MRC	(a9)	Recommended IAU name of the source based on B1950 equinox.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Right ascension in B1950 equinox	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	DEC in degrees in B1950 equinox	[ucd=pos.eq.dec;meta.main]
#Column	RA2000	(A10)	Right ascension in J2000 equinox (Converted from B1950 using the STARLINK program COCO)	[ucd=pos.eq.ra]
#Column	DE2000	(A9)	DEC in J2000 equinox	[ucd=pos.eq.dec]
#Column	S408	(F7.2)	Flux density	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.2)	Standard error	[ucd=stat.error]
#Column	n_S408	(A1)	[*] scattering flag (1)	[ucd=meta.note]
#Column	Mflag	(A3)	[ AECMN] *Morphology flags	[ucd=meta.code]
#Column	Cflag	(A3)	[ CJMPRST] Cross-reference flags.	[ucd=meta.code]
_RAJ2000	_DEJ2000	MRC	RAB1950	DEB1950	RA2000	DE2000	S408	e_S408	n_S408	Mflag	Cflag
03 51 28.5	-51 41 57	0350-518 	03 50 06.5	-51 50 53	03 51 28.6	-51 41 57	   1.43	 0.05	 	   	 P
03 51 55.9	-41 26 49	0350-415 	03 50 12.2	-41 35 44	03 51 55.9	-41 26 49	   1.74	 0.07	 	   	 P
03 52 51.9	-27 49 20	0350-279 	03 50 48.1	-27 58 12	03 52 51.9	-27 49 20	   1.24	 0.08	 	   	
03 53 28.4	-09 03 49	0351-092 	03 51 03.8	-09 12 39	03 53 28.4	-09 03 49	   0.82	 0.07	 	   	
03 53 26.4	-14 51 47	0351-150 	03 51 07.8	-15 00 37	03 53 26.4	-14 51 47	   0.83	 0.14	 	   	
03 54 03.0	+17 25 27	0351+172 	03 51 11.5	+17 16 38	03 54 03.0	+17 25 27	   2.05	 0.07	 	   	 P
03 53 08.2	-40 34 36	0351-407 	03 51 23.2	-40 43 26	03 53 08.3	-40 34 36	   1.27	 0.08	 	   	 P
03 54 05.7	+01 27 12	0351+013 	03 51 30.6	+01 18 24	03 54 05.7	+01 27 12	   1.52	 0.06	 	   	 P
03 54 04.7	-05 22 16	0351-055 	03 51 36.4	-05 31 04	03 54 04.7	-05 22 16	   2.36	 0.06	 	   	 P
03 54 15.0	-03 08 05	0351-032 	03 51 44.4	-03 16 52	03 54 15.0	-03 08 05	   1.87	 0.09	 	   	 P
03 54 20.1	-06 02 29	0351-061 	03 51 52.4	-06 11 16	03 54 20.1	-06 02 29	   1.02	 0.06	 	   	
03 51 50.5	-69 59 34	0351-701 	03 51 53.0	-70 08 26	03 51 50.6	-69 59 34	   1.65	 0.07	 	   	 P
03 54 04.1	-25 22 53	0351-255 	03 51 57.4	-25 31 40	03 54 04.1	-25 22 53	   0.81	 0.05	 	   	 P
03 54 21.0	-17 54 51	0352-180 	03 52 05.7	-18 03 38	03 54 21.0	-17 54 51	   1.04	 0.04	 	E  	 P
03 54 31.7	-15 14 22	0352-153 	03 52 13.5	-15 23 08	03 54 31.7	-15 14 22	   0.85	 0.07	 	   	 P
03 23 31.7	-88 16 00	0352-884 	03 52 25.7	-88 25 44	03 23 32.0	-88 16 00	   3.64	 0.17	 	   	 P
03 53 51.9	-49 54 59	0352-500 	03 52 25.9	-50 03 46	03 53 51.9	-49 54 59	   0.85	 0.05	 	   	
03 55 12.8	+04 40 40	0352+045 	03 52 34.5	+04 31 56	03 55 12.8	+04 40 40	   1.63	 0.09	 	   	
03 52 39.3	-71 07 01	0352-712 	03 52 52.3	-71 15 50	03 52 39.3	-71 07 02	   2.15	 0.08	 	   	 P
03 55 45.9	+12 31 29	0352+123 	03 52 59.6	+12 22 47	03 55 45.9	+12 31 29	   1.75	 0.07	 	M  	 P
03 55 47.9	+12 39 07	0353+125 	03 53 01.4	+12 30 25	03 55 47.9	+12 39 07	   0.77	 0.06	 	M  	
03 54 54.6	-42 47 54	0353-429 	03 53 13.8	-42 56 38	03 54 54.7	-42 47 55	   0.82	 0.05	 	   	
03 55 59.1	+02 56 21	0353+027 	03 53 22.5	+02 47 40	03 55 59.1	+02 56 21	   2.34	 0.08	 	   	 P
03 55 37.6	-20 33 25	0353-207 	03 53 25.3	-20 42 07	03 55 37.6	-20 33 25	   1.02	 0.03	 	   	 P
03 56 14.2	+13 05 22	0353+129 	03 53 27.3	+12 56 42	03 56 14.2	+13 05 22	   2.65	 0.13	 	   	
03 55 53.0	-25 28 20	0353-256 	03 53 46.5	-25 37 01	03 55 53.0	-25 28 20	   0.91	 0.05	 	   	
03 56 31.2	+10 47 45	0353+106 	03 53 46.6	+10 39 06	03 56 31.2	+10 47 45	   1.00	 0.05	 	   	
03 55 30.4	-48 23 04	0354-485 	03 54 01.1	-48 31 45	03 55 30.4	-48 23 04	   3.79	 0.09	 	   	 P
03 56 27.0	-19 08 42	0354-192 	03 54 13.2	-19 17 21	03 56 27.0	-19 08 42	   1.40	 0.04	 	   	 P
03 56 21.1	-24 14 37	0354-243 	03 54 13.2	-24 23 16	03 56 21.1	-24 14 37	   0.77	 0.06	 	   	
03 56 49.4	+00 13 56	0354+000 	03 54 15.5	+00 05 18	03 56 49.4	+00 13 56	   0.99	 0.07	 	   	 P
03 57 23.7	+13 15 31	0354+131 	03 54 36.5	+13 06 55	03 57 23.7	+13 15 31	   0.80	 0.06	 	   	
03 56 45.8	-30 28 31	0354-306 	03 54 45.8	-30 37 08	03 56 45.8	-30 28 31	   0.79	 0.06	 	   	 P
03 56 51.8	-26 12 54	0354-263 	03 54 46.3	-26 21 31	03 56 51.8	-26 12 54	   1.20	 0.07	 	   	 P
03 57 22.6	-02 54 56	0354-030 	03 54 51.8	-03 03 32	03 57 22.6	-02 54 56	   1.27	 0.04	 	E  	 P
03 53 30.9	-76 26 34	0354-765 	03 54 54.9	-76 35 17	03 53 30.9	-76 26 34	   1.02	 0.07	 	   	 P
03 57 41.5	-07 50 41	0355-079 	03 55 15.7	-07 59 15	03 57 41.5	-07 50 41	   0.73	 0.06	 	   	 P
03 57 48.0	-03 34 09	0355-037 	03 55 17.9	-03 42 43	03 57 48.0	-03 34 09	   1.05	 0.06	 	   	
03 55 48.5	-66 45 34	0355-669 	03 55 28.5	-66 54 12	03 55 48.5	-66 45 34	   2.25	 0.08	 	   	 PM
03 58 58.6	+15 23 59	0356+152 	03 56 09.1	+15 15 29	03 58 58.6	+15 23 59	   0.76	 0.12	 	   	
03 58 55.0	+10 26 24	0356+102 	03 56 10.7	+10 17 54	03 58 55.0	+10 26 24	  21.29	 0.92	 	E  	 PR
03 59 00.9	+14 36 13	0356+144 	03 56 12.2	+14 27 43	03 59 00.9	+14 36 13	   3.12	 0.14	 	   	 P
03 59 13.1	-03 20 20	0356-034 	03 56 42.8	-03 28 49	03 59 13.1	-03 20 20	   0.84	 0.07	 	   	
03 57 50.2	-56 50 20	0356-569 	03 56 44.7	-56 58 52	03 57 50.3	-56 50 21	   0.90	 0.05	 	   	 P
03 59 40.4	+15 55 41	0356+157 	03 56 50.3	+15 47 13	03 59 40.4	+15 55 41	   1.04	 0.05	 	   	
03 59 42.5	-02 04 25	0357-022 	03 57 10.9	-02 12 52	03 59 42.5	-02 04 25	   1.12	 0.05	 	   	
03 59 55.8	+03 40 29	0357+035 	03 57 18.4	+03 32 03	03 59 55.8	+03 40 29	   0.90	 0.05	 	   	
03 59 41.9	-12 42 47	0357-128 	03 57 21.2	-12 51 14	03 59 41.9	-12 42 47	   0.80	 0.05	 	   	
04 00 20.9	+18 17 25	0357+181 	03 57 28.2	+18 09 00	04 00 20.9	+18 17 25	   1.25	 0.06	*	   	
03 59 34.6	-26 15 35	0357-264 	03 57 29.4	-26 24 02	03 59 34.6	-26 15 35	   1.50	 0.08	 	   	 P
03 57 42.8	-68 28 59	0357-686 	03 57 35.5	-68 37 29	03 57 42.8	-68 28 59	   1.42	 0.06	 	   	
04 00 04.4	-11 08 32	0357-112 	03 57 42.1	-11 16 57	04 00 04.4	-11 08 32	   0.94	 0.06	 	   	
03 59 05.9	-50 32 44	0357-506 	03 57 42.4	-50 41 11	03 59 06.0	-50 32 44	   1.24	 0.04	 	A  	JP
03 59 56.4	-24 33 55	0357-247 	03 57 49.1	-24 42 20	03 59 56.4	-24 33 55	   2.16	 0.08	 	   	 P
04 00 14.9	-14 23 28	0357-145 	03 57 56.0	-14 31 53	04 00 14.9	-14 23 28	   1.07	 0.05	 	   	 P
03 59 47.1	-37 00 31	0357-371 	03 57 57.0	-37 08 57	03 59 47.2	-37 00 32	   4.68	 0.15	 	A  	JP
04 00 16.5	-16 10 15	0357-163 	03 57 59.6	-16 18 39	04 00 16.5	-16 10 15	   5.65	 0.18	 	   	 P
04 00 36.0	-07 43 00	0358-078 	03 58 10.2	-07 51 24	04 00 36.1	-07 43 01	   1.63	 0.09	 	   	 P
04 01 07.8	+00 36 39	0358+004 	03 58 33.5	+00 28 17	04 01 07.8	+00 36 39	   5.29	 0.23	 	   	 P
04 01 10.3	+02 17 42	0358+021 	03 58 34.3	+02 09 20	04 01 10.3	+02 17 42	   1.82	 0.10	 	   	 P
04 01 08.9	-01 56 12	0358-020 	03 58 37.2	-02 04 34	04 01 08.9	-01 56 13	   0.84	 0.05	 	   	
04 01 44.6	+16 24 09	0358+162 	03 58 53.9	+16 15 49	04 01 44.6	+16 24 09	   0.79	 0.06	 	   	
04 01 39.2	+06 32 20	0358+064 	03 58 58.9	+06 24 00	04 01 39.2	+06 32 20	   1.53	 0.07	 	   	
04 01 21.2	-29 21 18	0359-294 	03 59 20.1	-29 29 38	04 01 21.2	-29 21 18	   0.99	 0.04	 	   	 P
03 58 06.6	-76 05 26	0359-762 	03 59 27.1	-76 13 52	03 58 06.7	-76 05 26	   1.71	 0.09	 	   	 P
04 00 47.3	-52 00 53	0359-521 	03 59 27.9	-52 09 14	04 00 47.3	-52 00 53	   1.24	 0.05	 	   	 P
04 02 09.6	+05 41 06	0359+055 	03 59 30.2	+05 32 48	04 02 09.7	+05 41 06	   2.04	 0.10	 	   	
04 00 39.9	-58 09 33	0359-582 	03 59 39.6	-58 17 54	04 00 39.9	-58 09 33	   0.83	 0.06	 	   	
04 02 36.2	+03 01 47	0359+028 	03 59 59.5	+02 53 31	04 02 36.3	+03 01 47	   2.19	 0.08	 	   	 P
04 00 35.9	-64 12 55	0400-643 	04 00 02.4	-64 21 15	04 00 35.9	-64 12 55	   2.49	 0.07	 	   	 P
04 02 16.4	-24 16 21	0400-244 	04 00 08.9	-24 24 38	04 02 16.4	-24 16 21	   0.83	 0.07	 	   	
04 02 45.0	-18 00 29	0400-181 	04 00 30.2	-18 08 44	04 02 45.0	-18 00 29	   0.97	 0.04	 	   	 P
04 01 29.6	-58 39 35	0400-587 	04 00 31.4	-58 47 53	04 01 29.6	-58 39 36	   0.78	 0.05	 	   	 P
04 02 50.6	-14 23 00	0400-145 	04 00 31.8	-14 31 15	04 02 50.6	-14 23 00	   1.10	 0.05	 	   	 P
04 03 09.2	+02 11 43	0400+020 	04 00 33.3	+02 03 29	04 03 09.2	+02 11 43	   0.72	 0.06	 	   	
04 01 24.3	-61 10 20	0400-613 	04 00 36.3	-61 18 38	04 01 24.4	-61 10 21	   0.96	 0.06	 	   	 P
04 02 48.6	-24 38 06	0400-247 	04 00 41.6	-24 46 21	04 02 48.6	-24 38 07	   1.17	 0.05	 	   	
04 03 14.5	-02 59 50	0400-031 	04 00 43.9	-03 08 04	04 03 14.5	-02 59 50	   2.32	 0.07	 	   	 P
04 01 45.6	-57 42 08	0400-578 	04 00 43.9	-57 50 25	04 01 45.6	-57 42 08	   0.96	 0.05	 	   	
04 01 56.3	-55 51 56	0400-560 	04 00 48.4	-56 00 12	04 01 56.3	-55 51 56	   1.14	 0.14	 	   	 P
04 03 28.1	+03 24 55	0400+032 	04 00 51.0	+03 16 42	04 03 28.2	+03 24 55	   1.85	 0.09	 	   	 P
04 03 40.1	+12 58 51	0400+128 	04 00 53.0	+12 50 39	04 03 40.1	+12 58 51	   1.67	 0.09	 	   	
04 03 17.9	-08 48 36	0400-089 	04 00 53.2	-08 56 49	04 03 17.9	-08 48 36	   1.36	 0.06	 	   	 P
04 03 30.5	-05 37 03	0401-057 	04 01 02.6	-05 45 16	04 03 30.6	-05 37 04	   0.70	 0.06	 	   	
04 03 28.6	-08 30 23	0401-086 	04 01 03.6	-08 38 36	04 03 28.6	-08 30 24	   2.58	 0.10	 	E  	 PS
04 04 04.2	+16 00 45	0401+158 	04 01 13.8	+15 52 34	04 04 04.2	+16 00 45	   1.97	 0.07	 	   	 P
04 03 12.0	-50 30 15	0401-506 	04 01 49.1	-50 38 27	04 03 12.0	-50 30 15	   2.15	 0.08	 	   	 P
04 04 37.2	+04 30 35	0401+043 	04 01 58.9	+04 22 26	04 04 37.2	+04 30 34	   0.84	 0.06	 	   	
04 03 53.8	-36 05 03	0402-362 	04 02 02.7	-36 13 13	04 03 53.9	-36 05 03	   1.19	 0.08	 	   	 P
04 05 01.4	+16 10 33	0402+160 	04 02 10.8	+16 02 26	04 05 01.4	+16 10 33	   2.19	 0.09	 	   	 P
04 03 47.0	-47 38 48	0402-477 	04 02 17.4	-47 46 58	04 03 47.0	-47 38 48	   1.63	 0.05	 	   	 P
04 04 32.5	-18 12 33	0402-183 	04 02 18.0	-18 20 41	04 04 32.5	-18 12 33	   0.93	 0.03	 	   	
04 05 20.0	+18 06 01	0402+179 	04 02 27.2	+17 57 55	04 05 20.0	+18 06 01	   1.51	 0.08	 	   	 P
04 05 24.3	+02 40 35	0402+025 	04 02 47.9	+02 32 29	04 05 24.3	+02 40 34	   1.74	 0.09	 	   	 P
04 03 44.0	-60 13 52	0402-603 	04 02 52.6	-60 22 01	04 03 44.1	-60 13 52	   0.99	 0.05	 	   	 P
04 05 30.9	-01 52 44	0402-020 	04 02 59.1	-02 00 49	04 05 30.9	-01 52 44	   1.01	 0.05	 	   	
04 03 54.5	-59 18 27	0402-594 	04 02 59.4	-59 26 35	04 03 54.6	-59 18 27	   1.30	 0.06	 	   	
04 05 02.9	-34 04 50	0403-342 	04 03 08.8	-34 12 56	04 05 02.9	-34 04 50	   2.13	 0.08	 	   	 P
04 05 34.2	-13 08 17	0403-132A	04 03 14.2	-13 16 21	04 05 34.2	-13 08 17	   6.70	 0.17	 	M  	 P
04 05 54.9	+03 49 21	0403+036 	04 03 17.3	+03 41 17	04 05 54.9	+03 49 21	   0.96	 0.05	 	   	
04 05 54.1	+00 07 51	0403-000 	04 03 20.3	-00 00 13	04 05 54.1	+00 07 50	   0.90	 0.11	 	   	
04 04 53.2	-46 13 26	0403-463 	04 03 20.6	-46 21 32	04 04 53.2	-46 13 26	   0.80	 0.06	 	   	
04 03 52.2	-64 40 24	0403-648 	04 03 22.2	-64 48 32	04 03 52.2	-64 40 25	   0.96	 0.06	 	   	
04 05 55.7	-13 07 03	0403-132B	04 03 35.7	-13 15 06	04 05 55.7	-13 07 03	   0.79	 0.05	 	M  	
04 04 05.3	-65 29 55	0403-656 	04 03 40.2	-65 38 02	04 04 05.4	-65 29 56	   1.39	 0.05	 	   	 P
04 05 56.2	-18 31 12	0403-186 	04 03 42.1	-18 39 15	04 05 56.2	-18 31 12	   0.85	 0.05	 	   	 P
04 05 27.8	-41 44 52	0403-418 	04 03 46.4	-41 52 56	04 05 27.8	-41 44 52	   1.60	 0.09	 	   	 P
04 04 01.0	-71 09 13	0404-712 	04 04 19.2	-71 17 18	04 04 01.0	-71 09 13	   1.06	 0.06	 	   	 M
04 05 34.2	-56 42 59	0404-568 	04 04 29.9	-56 51 01	04 05 34.2	-56 42 59	   1.46	 0.06	 	   	 P
04 07 29.6	+17 50 56	0404+177 	04 04 37.0	+17 42 58	04 07 29.6	+17 50 56	   1.65	 0.09	 	   	 P
04 07 09.0	-07 58 00	0404-080 	04 04 43.5	-08 05 59	04 07 09.0	-07 58 01	   0.79	 0.06	 	   	
04 07 24.5	+03 40 49	0404+035 	04 04 47.0	+03 32 51	04 07 24.5	+03 40 49	   9.35	 0.29	 	C  	 PS
04 07 37.4	+06 38 04	0404+065 	04 04 56.9	+06 30 07	04 07 37.4	+06 38 04	   1.08	 0.04	 	   	
04 07 45.3	+07 28 44	0405+073 	04 05 03.9	+07 20 47	04 07 45.3	+07 28 44	   0.91	 0.07	 	   	
04 07 01.2	-31 52 18	0405-320 	04 05 04.1	-32 00 16	04 07 01.2	-31 52 18	   2.10	 0.11	 	   	 P
04 07 01.0	-38 26 17	0405-385 	04 05 14.0	-38 34 15	04 07 01.0	-38 26 17	   0.77	 0.06	 	   	 P
04 07 07.8	-35 47 26	0405-359 	04 05 16.5	-35 55 24	04 07 07.8	-35 47 26	   1.07	 0.18	 	   	
04 06 11.3	-60 50 45	0405-609 	04 05 23.1	-60 58 44	04 06 11.4	-60 50 45	   0.84	 0.07	 	   	
04 07 53.3	-05 55 57	0405-060 	04 05 25.7	-06 03 53	04 07 53.3	-05 55 57	   2.27	 0.10	 	   	 P
04 07 48.6	-12 11 37	0405-123 	04 05 27.6	-12 19 33	04 07 48.6	-12 11 37	   8.17	 0.33	 	   	 P
04 07 41.9	-22 42 50	0405-228 	04 05 32.9	-22 50 46	04 07 42.0	-22 42 50	   0.84	 0.15	 	   	
04 06 14.3	-63 54 51	0405-640 	04 05 40.9	-64 02 50	04 06 14.4	-63 54 51	   1.28	 0.05	 	   	 P
04 08 19.1	-03 20 22	0405-034 	04 05 48.9	-03 28 16	04 08 19.1	-03 20 22	   1.61	 0.05	 	   	 P
04 07 34.7	-39 24 41	0405-395 	04 05 49.4	-39 32 37	04 07 34.7	-39 24 41	   1.38	 0.08	 	   	 P
04 08 09.9	-12 40 06	0405-128 	04 05 49.5	-12 48 00	04 08 10.0	-12 40 06	   0.77	 0.06	 	   	
04 08 36.9	+12 40 03	0405+125 	04 05 50.0	+12 32 09	04 08 36.9	+12 40 02	   1.33	 0.08	 	   	
04 08 23.0	-05 02 45	0405-051 	04 05 54.5	-05 10 39	04 08 23.0	-05 02 45	   1.33	 0.04	 	   	
04 08 38.9	+07 50 47	0405+077 	04 05 57.1	+07 42 54	04 08 38.9	+07 50 47	   0.97	 0.07	 	   	
04 05 41.2	-71 04 43	0405-712 	04 05 59.4	-71 12 42	04 05 41.3	-71 04 43	   0.89	 0.05	 	   	 PM
04 07 00.3	-59 08 50	0406-592 	04 06 05.3	-59 16 46	04 07 00.4	-59 08 50	   0.79	 0.06	 	   	
04 08 31.4	-12 57 59	0406-130 	04 06 11.3	-13 05 52	04 08 31.4	-12 57 59	   0.74	 0.11	 	   	
04 08 42.6	-06 00 44	0406-061 	04 06 15.1	-06 08 37	04 08 42.6	-06 00 45	   0.88	 0.05	 	   	
04 08 51.7	-00 41 30	0406-008 	04 06 18.7	-00 49 22	04 08 51.7	-00 41 30	   0.83	 0.07	 	   	
04 08 45.4	-13 35 53	0406-137 	04 06 26.0	-13 43 45	04 08 45.4	-13 35 53	   1.77	 0.09	 	   	
04 08 26.5	-31 01 05	0406-311 	04 06 28.3	-31 08 58	04 08 26.5	-31 01 05	   1.84	 0.18	 	   	 P
04 09 22.1	+12 17 47	0406+121 	04 06 35.6	+12 09 56	04 09 22.1	+12 17 46	   0.87	 0.04	 	   	 P
04 08 54.7	-16 39 48	0406-167 	04 06 38.7	-16 47 39	04 08 54.7	-16 39 48	   1.53	 0.07	 	   	 P
04 08 51.2	-24 18 22	0406-244 	04 06 44.2	-24 26 13	04 08 51.2	-24 18 22	   2.92	 0.10	 	   	
04 09 07.0	-17 57 09	0406-180 	04 06 52.4	-18 05 00	04 09 07.0	-17 57 09	   5.60	 0.12	 	   	 P
04 09 41.6	+01 25 06	0407+012 	04 07 06.5	+01 17 17	04 09 41.6	+01 25 06	   1.73	 0.09	 	   	 P
04 09 37.3	-16 55 28	0407-170 	04 07 21.6	-17 03 17	04 09 37.3	-16 55 28	   0.91	 0.05	 	   	 P
04 09 01.3	-47 00 50	0407-471 	04 07 31.0	-47 08 40	04 09 01.3	-47 00 50	   1.07	 0.04	 	   	 P
04 10 16.2	+09 13 18	0407+090 	04 07 32.9	+09 05 31	04 10 16.2	+09 13 18	   0.85	 0.04	 	   	
04 10 17.2	+05 44 17	0407+056 	04 07 37.6	+05 36 30	04 10 17.2	+05 44 17	   0.98	 0.07	 	   	
04 09 56.2	-22 28 37	0407-226 	04 07 47.0	-22 36 24	04 09 56.2	-22 28 37	   1.24	 0.07	 	   	
04 10 32.8	+03 13 49	0407+031 	04 07 55.8	+03 06 03	04 10 32.8	+03 13 49	   0.97	 0.05	 	   	
04 10 40.9	+10 19 16	0407+101 	04 07 56.5	+10 11 31	04 10 41.0	+10 19 16	   1.00	 0.07	 	   	
04 08 20.1	-65 44 58	0407-658 	04 07 57.8	-65 52 48	04 08 20.1	-65 44 58	  51.14	 1.72	 	   	 P
04 10 11.7	-25 50 37	0408-259 	04 08 06.7	-25 58 23	04 10 11.7	-25 50 37	   0.84	 0.05	 	   	
04 11 14.3	+07 07 34	0408+069 	04 08 33.2	+06 59 51	04 11 14.3	+07 07 34	   3.73	 0.17	 	   	 P
04 10 12.4	-45 43 14	0408-458 	04 08 39.5	-45 50 59	04 10 12.4	-45 43 14	   0.93	 0.06	 	   	
04 10 13.0	-47 48 39	0408-479 	04 08 44.7	-47 56 24	04 10 13.0	-47 48 39	   1.82	 0.05	 	E  	JP
04 10 43.8	-31 45 40	0408-318 	04 08 46.8	-31 53 24	04 10 43.8	-31 45 40	   0.91	 0.08	 	   	 P
04 11 40.8	+17 14 08	0408+171 	04 08 48.7	+17 06 26	04 11 40.8	+17 14 08	   3.27	 0.09	 	   	 P
04 10 42.2	-34 09 57	0408-342 	04 08 48.8	-34 17 41	04 10 42.3	-34 09 57	   0.81	 0.06	 	   	 P
04 10 36.2	-40 38 04	0408-407 	04 08 53.4	-40 45 48	04 10 36.2	-40 38 04	   0.89	 0.07	 	   	 P
04 11 27.2	-11 21 34	0409-114 	04 09 05.4	-11 29 16	04 11 27.2	-11 21 34	   0.86	 0.05	 	   	
04 10 22.5	-52 32 55	0409-526 	04 09 06.3	-52 40 39	04 10 22.5	-52 32 55	   3.75	 0.17	 	   	 P
04 11 08.3	-37 04 16	0409-371 	04 09 19.5	-37 11 58	04 11 08.4	-37 04 16	   1.40	 0.06	 	   	 P
04 11 22.1	-35 13 05	0409-353 	04 09 30.3	-35 20 46	04 11 22.1	-35 13 05	   1.92	 0.14	 	   	 P
04 12 22.7	-00 59 26	0409-011 	04 09 50.1	-01 07 05	04 12 22.8	-00 59 27	   4.81	 0.21	 	   	 P
04 08 49.1	-75 07 14	0409-752 	04 09 59.2	-75 14 59	04 08 49.2	-75 07 14	  35.97	 0.63	 	   	 P
04 11 52.7	-43 53 35	0410-440 	04 10 16.3	-44 01 14	04 11 52.8	-43 53 35	   0.97	 0.07	 	   	 P
04 12 29.1	-19 42 11	0410-198 	04 10 16.7	-19 49 49	04 12 29.1	-19 42 12	   2.23	 0.06	 	   	 P
04 12 54.2	-02 22 15	0410-024 	04 10 23.0	-02 29 51	04 12 54.2	-02 22 15	   2.29	 0.07	 	   	 P
04 11 16.0	-59 50 00	0410-599 	04 10 24.7	-59 57 40	04 11 16.0	-59 50 00	   0.86	 0.07	 	   	
04 12 37.3	-21 54 22	0410-220 	04 10 27.6	-22 01 59	04 12 37.4	-21 54 22	   0.86	 0.05	 	   	
04 11 41.6	-57 49 33	0410-579 	04 10 42.6	-57 57 11	04 11 41.7	-57 49 33	   1.59	 0.06	 	   	 P
04 11 46.9	-57 02 58	0410-571 	04 10 45.1	-57 10 36	04 11 46.9	-57 02 58	   1.42	 0.08	 	   	 P
04 13 07.5	-16 20 28	0410-164 	04 10 51.3	-16 28 03	04 13 07.5	-16 20 28	   1.05	 0.05	 	   	
04 13 40.7	+11 12 06	0410+110 	04 10 55.2	+11 04 32	04 13 40.7	+11 12 06	  11.70	 0.45	 	E  	 PR
04 13 46.2	+10 18 00	0411+101 	04 11 01.7	+10 10 27	04 13 46.2	+10 18 00	   0.81	 0.06	 	   	
04 13 01.3	-34 30 03	0411-346A	04 11 08.6	-34 37 38	04 13 01.3	-34 30 03	   4.35	 0.20	 	   	 P
04 11 31.1	-65 46 42	0411-659 	04 11 09.9	-65 54 20	04 11 31.1	-65 46 42	   1.26	 0.08	 	   	
04 13 56.0	+05 35 58	0411+054B	04 11 16.5	+05 28 25	04 13 56.0	+05 35 58	   1.03	 0.15	 	N  	
04 14 08.7	+15 33 35	0411+154 	04 11 18.4	+15 26 03	04 14 08.7	+15 33 35	   0.77	 0.05	 	   	
04 13 29.2	-25 10 55	0411-253 	04 11 23.6	-25 18 28	04 13 29.3	-25 10 55	   0.86	 0.05	 	   	
04 13 52.0	-06 09 39	0411-062 	04 11 24.8	-06 17 12	04 13 52.0	-06 09 40	   0.92	 0.05	 	   	
04 13 46.5	-11 20 04	0411-114 	04 11 24.8	-11 27 37	04 13 46.5	-11 20 04	   0.78	 0.06	 	   	
04 11 59.6	-64 36 23	0411-647 	04 11 31.6	-64 43 59	04 11 59.6	-64 36 23	   4.18	 0.11	 	   	 P
04 14 30.2	+14 16 23	0411+141 	04 11 41.3	+14 08 52	04 14 30.2	+14 16 23	   5.24	 0.50	 	E  	 P
04 13 57.5	-17 03 51	0411-171 	04 11 42.1	-17 11 23	04 13 57.5	-17 03 51	   2.06	 0.07	 	   	 P
04 12 48.3	-56 00 50	0411-561 	04 11 43.1	-56 08 24	04 12 48.3	-56 00 50	   6.79	 0.30	 	   	 P
04 13 39.7	-34 31 20	0411-346B	04 11 47.1	-34 38 52	04 13 39.7	-34 31 20	   0.88	 0.07	 	   	
04 14 16.5	-08 25 52	0411-085 	04 11 51.7	-08 33 23	04 14 16.5	-08 25 52	   1.15	 0.04	 	   	
04 14 38.1	+05 34 37	0411+054A	04 11 58.6	+05 27 07	04 14 38.1	+05 34 37	   3.09	 0.15	 	   	 P
04 14 11.2	-30 11 13	0412-303 	04 12 12.3	-30 18 43	04 14 11.2	-30 11 13	   0.77	 0.05	 	   	 P
04 13 48.2	-52 39 06	0412-527 	04 12 32.9	-52 46 37	04 13 48.3	-52 39 06	   0.97	 0.07	 	   	
